s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
465,64,1,13,0.1602949936732701,10.838709677419354,-0.20380079520182337,62,0.3640957888750935
7443,64,1,22,0.10563654594867979,10.838709677419354,-0.20380079520182337,62,0.30943734115050314
7738,64,1,11,-0.6595817221955844,10.838709677419354,-0.20380079520182337,62,-0.45578092699376105
2445,64,1,13,-0.2769725881234523,10.838709677419354,-0.20380079520182337,62,-0.07317179292162895
7245,65,0,9,-0.9875324085431262,15.28735632183908,0.23505769803219245,87,-1.2225901065753186
4711,65,0,22,1.034830157266715,15.28735632183908,0.23505769803219245,87,0.7997724592345224
5086,65,0,8,-0.05833879722509112,15.28735632183908,0.23505769803219245,87,-0.29339649525728356
4848,65,0,23,-0.2769725881234523,15.28735632183908,0.23505769803219245,87,-0.5120302861556447
3254,65,0,13,0.870854814092944,15.28735632183908,0.23505769803219245,87,0.6357971160607515
3984,65,0,6,-0.7688986176447651,15.28735632183908,0.23505769803219245,87,-1.0039563156769575
3401,65,0,15,0.10563654594867979,15.28735632183908,0.23505769803219245,87,-0.12942115208351268
523,65,0,11,0.21495344139786038,15.28735632183908,0.23505769803219245,87,-0.020104256634332074
4159,65,0,24,1.253463948165076,15.28735632183908,0.23505769803219245,87,1.0184062501328834
7764,65,0,12,-0.2769725881234523,15.28735632183908,0.23505769803219245,87,-0.5120302861556447
2066,65,0,21,0.9801717095421246,15.28735632183908,0.23505769803219245,87,0.7451140115099322
3560,65,0,10,-0.003680349500500814,15.28735632183908,0.23505769803219245,87,-0.23873804753269326
1194,65,0,28,1.8000484254109792,15.28735632183908,0.23505769803219245,87,1.5649907273787869
3130,65,0,29,1.1988055004404858,15.28735632183908,0.23505769803219245,87,0.9637478024082934
559,65,0,4,-0.22231414039886202,15.28735632183908,0.23505769803219245,87,-0.45737183843105444
6404,65,0,15,-0.49560637902181354,15.28735632183908,0.23505769803219245,87,-0.730664077054006
1179,65,0,28,1.8000484254109792,15.28735632183908,0.23505769803219245,87,1.5649907273787869
4821,65,0,22,0.7068794709191731,15.28735632183908,0.23505769803219245,87,0.4718217728869807
976,65,0,24,1.253463948165076,15.28735632183908,0.23505769803219245,87,1.0184062501328834
3121,65,0,2,-0.9875324085431262,15.28735632183908,0.23505769803219245,87,-1.2225901065753186
4180,65,0,17,0.324270336847041,15.28735632183908,0.23505769803219245,87,0.08921263881484853
4384,65,0,22,1.9093653208601598,15.28735632183908,0.23505769803219245,87,1.6743076228279672
6613,65,0,5,-0.38628948357263293,15.28735632183908,0.23505769803219245,87,-0.6213471816048254
7010,65,0,11,0.1602949936732701,15.28735632183908,0.23505769803219245,87,-0.07476270435892235
5751,65,0,9,-0.6595817221955844,15.28735632183908,0.23505769803219245,87,-0.8946394202277769
5543,65,0,13,0.10563654594867979,15.28735632183908,0.23505769803219245,87,-0.12942115208351268
2838,65,0,19,0.05097809822408949,15.28735632183908,0.23505769803219245,87,-0.18407959980810296
5338,65,0,10,-1.1515077517168972,15.28735632183908,0.23505769803219245,87,-1.3865654497490896
4452,65,0,6,-1.1515077517168972,15.28735632183908,0.23505769803219245,87,-1.3865654497490896
1664,65,0,6,-0.3316310358480426,15.28735632183908,0.23505769803219245,87,-0.5666887338802351
5337,65,0,25,1.253463948165076,15.28735632183908,0.23505769803219245,87,1.0184062501328834
6292,65,0,13,1.1441470527158955,15.28735632183908,0.23505769803219245,87,0.909089354683703
4517,65,0,17,0.8161963663683537,15.28735632183908,0.23505769803219245,87,0.5811386683361612
3686,65,0,15,0.3789287845716313,15.28735632183908,0.23505769803219245,87,0.14387108653943886
4559,65,0,17,0.1602949936732701,15.28735632183908,0.23505769803219245,87,-0.07476270435892235
3775,65,0,9,0.10563654594867979,15.28735632183908,0.23505769803219245,87,-0.12942115208351268
1726,65,0,27,1.0894886049913053,15.28735632183908,0.23505769803219245,87,0.8544309069591128
2645,65,0,22,0.9255132618175343,15.28735632183908,0.23505769803219245,87,0.6904555637853419
